Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12
A1,B1,C2,D2,no,A3,B3,C2,D1,no,A1,B2
A3,B2,C4,D2,yes,A4,B1,C4,D2,yes,A4,B2
A3,B1,C2,D1,yes,A3,B2,C3,D1,no,A5,B3
A1,B2,C2,D2,yes,A3,B3,C3,D2,yes,A3,B1
A2,B1,C2,D1,yes,A3,B2,C1,D2,no,A1,B1
A3,B3,C1,D2,yes,A5,B1,C3,D2,no,A4,B3
A4,B3,C3,D2,yes,A3,B3,C4,D1,yes,A4,B3
A1,B1,C3,D1,yes,A2,B1,C4,D1,no,A3,B1
A3,B3,C1,D1,yes,A4,B3,C2,D1,yes,A5,B2
A2,B1,C1,D1,no,A1,B3,C2,D1,yes,A2,B3
A2,B3,C1,D2,no,A5,B1,C1,D2,no,A4,B1
A2,B2,C1,D2,no,A3,B3,C2,D1,no,A5,B1
A3,B3,C2,D1,yes,A2,B3,C3,D2,no,A3,B2
A3,B3,C3,D2,no,A2,B1,C4,D2,yes,A5,B2
A3,B3,C3,D2,yes,A4,B1,C4,D2,yes,A2,B2
A1,B3,C4,D1,yes,A2,B3,C1,D2,no,A1,B3
A3,B2,C4,D1,yes,A4,B2,C1,D2,yes,A2,B3
A4,B3,C2,D1,no,A5,B3,C1,D1,no,A3,B3
A5,B1,C3,D2,yes,A4,B2,C3,D2,yes,A4,B1
A4,B1,C1,D2,yes,A3,B1,C4,D1,no,A4,B2
A2,B1,C3,D2,no,A3,B2,C2,D2,no,A3,B1
A4,B3,C4,D2,no,A2,B2,C4,D2,no,A3,B1
A3,B1,C3,D1,no,A2,B3,C1,D2,no,A1,B1
A3,B2,C4,D2,yes,A2,B2,C1,D2,yes,A1,B2
A4,B3,C2,D1,no,A1,B2,C4,D2,yes,A1,B3
A4,B2,C2,D2,yes,A2,B2,C2,D2,no,A3,B2
A5,B3,C1,D1,yes,A1,B3,C1,D1,yes,A1,B1
A3,B2,C4,D2,yes,A5,B2,C3,D2,yes,A2,B1
A2,B3,C4,D2,yes,A3,B2,C4,D2,yes,A4,B2
A1,B2,C4,D2,yes,A1,B2,C2,D2,no,A1,B2
A5,B1,C2,D1,yes,A4,B2,C4,D1,yes,A3,B3
A3,B3,C3,D1,yes,A2,B1,C4,D1,yes,A5,B3
A1,B2,C4,D1,yes,A5,B3,C2,D2,yes,A4,B2
A1,B1,C2,D2,yes,A2,B1,C3,D2,no,A1,B1
A4,B3,C3,D2,yes,A1,B1,C4,D2,no,A4,B1
A5,B3,C4,D2,yes,A2,B2,C3,D1,no,A2,B1
A4,B3,C1,D2,no,A2,B2,C4,D1,no,A3,B3
A1,B3,C3,D1,yes,A1,B1,C3,D1,yes,A2,B3
A3,B2,C4,D2,no,A2,B1,C4,D1,no,A2,B2
A3,B1,C2,D2,no,A4,B3,C1,D1,no,A4,B2
A3,B2,C1,D2,no,A5,B3,C4,D1,yes,A4,B2
A3,B2,C3,D2,yes,A4,B3,C1,D2,no,A2,B3
A4,B3,C1,D1,yes,A3,B3,C3,D1,no,A5,B1
A1,B2,C2,D1,no,A4,B2,C3,D1,yes,A1,B1
A4,B2,C4,D1,no,A5,B1,C2,D1,yes,A1,B2
A4,B2,C1,D1,yes,A2,B3,C2,D1,no,A2,B2
A4,B2,C2,D2,yes,A3,B1,C1,D1,yes,A5,B2
A2,B2,C1,D2,no,A3,B1,C1,D2,no,A5,B3
A1,B1,C2,D1,no,A3,B2,C2,D1,yes,A4,B2
A5,B3,C1,D2,no,A1,B2,C4,D1,no,A4,B3
A2,B2,C3,D1,yes,A3,B2,C4,D1,yes,A4,B2
A3,B1,C1,D1,no,A4,B2,C4,D2,no,A3,B2
A1,B3,C2,D2,no,A5,B2,C4,D1,yes,A3,B2
A3,B1,C4,D2,yes,A1,B3,C3,D1,yes,A3,B1
A2,B1,C2,D2,no,A5,B3,C2,D2,yes,A2,B1
A4,B3,C1,D1,no,A4,B1,C2,D2,no,A2,B1
A4,B2,C3,D1,no,A2,B2,C3,D2,yes,A4,B1
A5,B3,C2,D2,no,A5,B2,C2,D2,yes,A5,B3
A4,B3,C2,D1,yes,A5,B2,C4,D2,no,A5,B2
A1,B2,C1,D2,yes,A1,B1,C4,D2,no,A5,B3
A4,B1,C1,D1,no,A1,B1,C2,D1,yes,A4,B2
A2,B2,C4,D1,yes,A3,B2,C3,D2,yes,A3,B1
A1,B2,C4,D1,yes,A3,B2,C3,D1,no,A4,B2
A4,B3,C3,D2,yes,A3,B3,C1,D1,no,A2,B2
A1,B1,C3,D1,yes,A1,B1,C2,D2,yes,A5,B3
A1,B3,C4,D1,no,A2,B3,C3,D1,no,A1,B2
A3,B2,C3,D2,yes,A2,B1,C2,D1,no,A4,B2
A3,B1,C2,D1,yes,A1,B1,C3,D2,no,A5,B2
A1,B2,C1,D1,no,A3,B1,C1,D2,yes,A1,B1
A3,B2,C1,D1,yes,A1,B3,C3,D1,yes,A2,B2
A3,B2,C3,D1,no,A5,B2,C3,D2,no,A4,B2
A3,B1,C3,D1,yes,A3,B3,C4,D2,no,A1,B3
A5,B2,C1,D2,yes,A4,B2,C4,D2,yes,A3,B1
A1,B1,C2,D1,yes,A2,B1,C4,D2,no,A3,B2
A4,B2,C1,D1,yes,A2,B3,C1,D2,no,A5,B3
A3,B1,C3,D2,no,A3,B2,C4,D1,no,A5,B3
A1,B2,C2,D1,yes,A5,B3,C4,D1,yes,A5,B2
A2,B2,C2,D1,yes,A5,B3,C4,D1,yes,A1,B2
A4,B3,C4,D2,no,A1,B3,C3,D2,yes,A1,B1
A5,B2,C4,D2,no,A5,B3,C4,D1,yes,A3,B2
A3,B3,C4,D2,no,A2,B1,C1,D1,yes,A5,B2
A1,B1,C4,D2,yes,A2,B3,C2,D1,yes,A4,B2
A5,B1,C2,D2,no,A4,B1,C1,D2,yes,A3,B3
A2,B1,C4,D1,no,A5,B2,C2,D2,yes,A1,B3
A1,B2,C3,D2,no,A5,B1,C4,D1,yes,A3,B3
A5,B1,C4,D1,no,A5,B1,C1,D2,yes,A4,B3
A2,B2,C1,D1,no,A4,B3,C4,D2,no,A3,B1
A2,B1,C4,D2,yes,A4,B1,C4,D1,yes,A3,B2
A5,B1,C4,D1,no,A5,B3,C2,D1,no,A2,B3
A2,B3,C2,D1,no,A4,B3,C2,D1,yes,A1,B2
A5,B3,C2,D1,yes,A4,B3,C2,D1,yes,A2,B3
A5,B3,C4,D2,yes,A5,B1,C4,D2,no,A1,B2
A2,B3,C4,D2,no,A2,B2,C1,D1,yes,A5,B3
A4,B3,C1,D1,yes,A4,B1,C2,D2,yes,A4,B3
A4,B3,C2,D2,yes,A4,B3,C2,D2,yes,A5,B1
A3,B2,C4,D1,no,A4,B1,C2,D1,no,A2,B1
A3,B3,C1,D2,yes,A3,B3,C2,D1,no,A2,B2
A1,B3,C4,D1,yes,A4,B3,C1,D2,yes,A3,B2
A4,B1,C1,D1,no,A2,B2,C4,D1,yes,A2,B1
A1,B2,C4,D1,no,A1,B2,C3,D2,yes,A5,B1
A1,B1,C1,D2,no,A2,B3,C1,D1,yes,A2,B1
A4,B2,C1,D1,yes,A5,B2,C1,D2,yes,A3,B1
A5,B3,C1,D1,yes,A4,B1,C1,D1,no,A5,B3
A4,B1,C4,D1,yes,A3,B1,C2,D1,no,A4,B3
A5,B2,C1,D2,no,A1,B1,C4,D1,no,A3,B1
A4,B3,C1,D1,no,A4,B2,C3,D2,yes,A2,B1
A1,B2,C1,D2,yes,A2,B3,C4,D2,no,A3,B2
A3,B3,C4,D2,no,A4,B3,C1,D1,no,A4,B1
A2,B2,C1,D1,yes,A4,B3,C2,D1,no,A2,B3
A2,B3,C4,D2,no,A2,B3,C4,D1,yes,A5,B3
A5,B2,C4,D1,no,A2,B3,C2,D2,yes,A3,B2
A2,B3,C1,D1,yes,A1,B3,C3,D1,yes,A1,B2
A1,B3,C1,D1,yes,A4,B2,C4,D2,no,A3,B3
A5,B2,C3,D2,yes,A4,B3,C3,D2,no,A2,B3
A3,B2,C2,D2,yes,A1,B3,C1,D1,yes,A3,B3
A1,B3,C2,D1,yes,A1,B1,C3,D2,no,A2,B1
A2,B2,C1,D2,no,A4,B1,C2,D1,yes,A4,B3
A2,B1,C1,D1,yes,A4,B1,C3,D2,no,A2,B2
A3,B2,C1,D1,yes,A1,B3,C1,D1,yes,A5,B3
A1,B2,C1,D2,no,A5,B3,C1,D1,no,A5,B3
A1,B1,C3,D1,yes,A4,B2,C2,D2,no,A4,B1
A3,B1,C4,D1,yes,A1,B3,C3,D2,no,A5,B2
A2,B1,C4,D1,yes,A1,B3,C3,D2,no,A5,B3
A5,B1,C2,D1,no,A2,B2,C1,D2,no,A4,B1
A1,B3,C3,D1,no,A4,B1,C4,D1,no,A5,B2
A3,B3,C4,D2,yes,A1,B3,C3,D1,yes,A4,B2
A4,B2,C4,D1,yes,A5,B1,C1,D2,no,A2,B1
A3,B3,C3,D2,yes,A2,B1,C2,D1,no,A2,B3
A1,B1,C2,D1,no,A5,B1,C3,D2,no,A2,B1
A4,B2,C2,D1,yes,A5,B3,C1,D2,yes,A4,B3
A5,B2,C3,D2,yes,A3,B1,C1,D2,no,A5,B2
A3,B2,C4,D1,yes,A2,B2,C3,D2,no,A1,B1
A4,B2,C3,D1,yes,A5,B3,C4,D2,no,A4,B1
A2,B3,C2,D1,yes,A3,B2,C4,D2,no,A3,B2
A5,B1,C1,D2,yes,A3,B3,C2,D2,no,A2,B1
A5,B1,C1,D1,no,A4,B3,C2,D2,yes,A1,B2
A2,B1,C1,D1,yes,A4,B2,C3,D2,no,A2,B1
A2,B1,C4,D1,no,A4,B2,C1,D2,no,A1,B3
A4,B3,C1,D2,yes,A1,B1,C4,D2,no,A5,B1
A1,B3,C3,D1,yes,A4,B1,C3,D1,yes,A3,B1
A3,B2,C4,D1,no,A4,B2,C4,D1,no,A2,B3
A2,B3,C2,D1,no,A3,B2,C3,D2,no,A5,B1
A4,B2,C3,D1,no,A1,B3,C1,D2,yes,A4,B2
A3,B1,C2,D1,no,A1,B2,C2,D2,no,A5,B1
A1,B1,C4,D2,no,A2,B3,C4,D2,no,A4,B1
A4,B2,C3,D1,yes,A2,B1,C2,D1,yes,A2,B2
A4,B1,C2,D1,no,A3,B3,C1,D2,no,A4,B3
A1,B2,C4,D2,no,A3,B2,C3,D2,no,A1,B1
A4,B3,C3,D1,yes,A2,B3,C2,D1,yes,A4,B1
A1,B2,C2,D1,yes,A4,B3,C2,D1,no,A1,B3
A2,B1,C2,D1,no,A4,B2,C4,D2,yes,A1,B1
A1,B3,C2,D2,yes,A5,B2,C3,D1,no,A1,B1
A5,B2,C4,D1,no,A4,B3,C3,D2,no,A5,B2
A3,B1,C3,D2,no,A2,B3,C3,D2,no,A1,B3
A4,B1,C3,D2,no,A4,B1,C4,D1,no,A1,B3
A3,B3,C4,D2,no,A4,B3,C4,D2,yes,A3,B1
A5,B2,C4,D1,yes,A1,B1,C1,D1,yes,A3,B2
A4,B1,C1,D1,yes,A1,B2,C3,D1,no,A1,B2
A1,B1,C4,D1,yes,A4,B1,C4,D1,yes,A1,B1
A3,B1,C2,D1,no,A2,B1,C4,D1,yes,A2,B1
A4,B2,C4,D2,yes,A3,B3,C4,D1,no,A5,B1
A3,B2,C2,D2,no,A3,B3,C1,D2,yes,A4,B3
A4,B2,C2,D1,no,A3,B2,C4,D1,no,A4,B2
A3,B2,C2,D2,no,A1,B3,C2,D2,yes,A3,B3
A5,B1,C1,D1,yes,A3,B1,C1,D2,no,A5,B1
A3,B2,C2,D2,yes,A2,B2,C1,D1,no,A1,B1
A1,B1,C3,D1,no,A4,B1,C2,D2,yes,A1,B3
A3,B1,C2,D1,yes,A2,B2,C2,D1,yes,A4,B1
A4,B3,C1,D1,no,A4,B2,C2,D2,no,A5,B3
A2,B1,C4,D1,no,A5,B2,C3,D1,no,A4,B1
A3,B3,C3,D2,no,A4,B1,C4,D1,yes,A2,B2
A3,B1,C4,D2,yes,A5,B3,C4,D1,yes,A2,B2
A1,B1,C2,D2,yes,A2,B1,C1,D1,yes,A5,B1
A2,B1,C3,D2,no,A3,B1,C1,D1,yes,A4,B1
A1,B2,C4,D1,no,A1,B1,C2,D2,no,A4,B1
A5,B3,C1,D2,yes,A4,B3,C4,D2,yes,A5,B1
A2,B2,C4,D2,no,A3,B2,C3,D1,yes,A4,B2
A1,B3,C2,D2,yes,A4,B3,C2,D2,yes,A4,B1
A5,B1,C3,D1,yes,A3,B1,C3,D2,yes,A5,B1
A1,B2,C4,D1,no,A4,B3,C1,D2,no,A1,B2
A5,B1,C2,D2,yes,A4,B3,C2,D1,yes,A4,B2
A4,B1,C2,D1,yes,A5,B1,C1,D2,no,A3,B2
A2,B3,C2,D1,no,A1,B1,C4,D1,yes,A3,B1
A3,B1,C1,D1,yes,A4,B3,C2,D1,yes,A2,B3
A5,B1,C3,D1,no,A2,B2,C3,D1,no,A4,B2
A1,B3,C2,D2,no,A4,B2,C1,D2,no,A5,B3
A3,B3,C4,D2,yes,A5,B2,C4,D2,no,A4,B2
A2,B2,C1,D1,no,A2,B3,C3,D2,no,A5,B1
A4,B3,C3,D2,yes,A4,B1,C1,D2,yes,A1,B3
A3,B2,C2,D1,yes,A5,B2,C1,D2,yes,A5,B2
A3,B2,C4,D2,no,A2,B3,C4,D1,yes,A1,B1
A5,B3,C4,D2,yes,A4,B3,C2,D1,yes,A4,B2
A1,B1,C2,D2,no,A1,B1,C1,D2,yes,A2,B3
A3,B1,C4,D1,no,A5,B2,C2,D2,no,A4,B2
A5,B3,C1,D1,no,A3,B2,C1,D1,no,A4,B2
A3,B3,C1,D2,yes,A2,B2,C4,D2,yes,A4,B1
A4,B2,C4,D1,yes,A5,B1,C2,D2,no,A1,B3
A5,B2,C1,D1,no,A1,B3,C2,D1,yes,A2,B1
A2,B1,C3,D1,no,A3,B3,C1,D2,no,A3,B2
A2,B3,C4,D2,no,A2,B3,C2,D2,yes,A3,B3
A3,B3,C1,D2,no,A2,B1,C3,D2,no,A3,B3
A5,B1,C3,D2,no,A5,B2,C2,D1,no,A5,B1
A5,B1,C3,D1,yes,A3,B2,C4,D2,yes,A1,B1
A5,B2,C3,D1,yes,A2,B2,C3,D1,yes,A3,B3
A3,B3,C2,D2,no,A3,B2,C1,D2,yes,A5,B2
A3,B2,C2,D1,no,A1,B3,C3,D2,yes,A3,B1
A2,B2,C2,D2,no,A2,B1,C2,D2,no,A4,B3
A5,B1,C3,D1,no,A4,B3,C4,D1,yes,A4,B1
A1,B3,C4,D2,no,A3,B2,C1,D1,yes,A2,B1
A4,B3,C3,D2,no,A5,B3,C2,D2,no,A1,B3
A5,B1,C4,D1,yes,A5,B2,C4,D1,no,A2,B2
A3,B2,C2,D1,no,A5,B1,C4,D2,yes,A4,B2
A3,B3,C4,D1,no,A5,B1,C2,D2,no,A3,B2
A3,B1,C3,D1,yes,A1,B3,C1,D1,yes,A3,B2
A2,B3,C1,D1,yes,A5,B2,C3,D2,yes,A3,B2
A4,B3,C3,D2,yes,A2,B2,C4,D2,no,A3,B1
A4,B3,C2,D2,no,A5,B1,C3,D2,no,A5,B3
A5,B3,C4,D2,yes,A4,B1,C1,D2,no,A1,B2
A1,B3,C4,D2,yes,A3,B2,C2,D1,yes,A3,B3
A3,B1,C2,D2,no,A4,B3,C4,D1,yes,A1,B2
A5,B1,C1,D1,no,A1,B3,C3,D1,no,A2,B3
A5,B1,C1,D1,no,A2,B1,C3,D2,no,A4,B2
A2,B2,C2,D1,yes,A5,B2,C2,D2,yes,A5,B2
A4,B1,C1,D2,yes,A1,B1,C4,D1,no,A1,B3
A1,B3,C4,D1,no,A4,B2,C2,D2,yes,A4,B2
A1,B1,C2,D1,yes,A3,B1,C4,D1,no,A3,B3
A2,B1,C3,D1,no,A1,B2,C4,D2,no,A2,B2
A5,B3,C1,D1,no,A3,B2,C2,D2,yes,A1,B3
A1,B2,C4,D1,yes,A3,B3,C1,D1,no,A1,B1
A3,B3,C2,D1,no,A2,B2,C2,D1,yes,A1,B3
A3,B2,C3,D1,no,A2,B3,C1,D1,yes,A5,B1
A3,B3,C3,D1,yes,A1,B2,C1,D1,no,A3,B2
A4,B3,C2,D2,no,A5,B1,C1,D2,no,A3,B3
A1,B1,C1,D2,no,A3,B3,C2,D2,no,A3,B1
A1,B1,C4,D1,no,A1,B3,C1,D1,yes,A1,B3
A5,B3,C3,D2,yes,A2,B1,C2,D2,yes,A4,B1
A4,B1,C3,D1,no,A3,B3,C3,D2,yes,A2,B3
A3,B3,C2,D1,no,A2,B1,C2,D1,yes,A4,B1
A4,B3,C4,D2,yes,A3,B2,C2,D1,yes,A2,B2
A4,B2,C3,D2,yes,A4,B2,C4,D1,yes,A3,B3
A5,B2,C4,D1,yes,A1,B2,C1,D1,no,A4,B3
A5,B2,C1,D1,no,A5,B3,C1,D1,no,A3,B2
A1,B2,C4,D2,no,A4,B2,C4,D2,yes,A2,B2
A2,B3,C1,D2,yes,A2,B1,C3,D2,yes,A4,B1
A5,B2,C3,D2,no,A2,B3,C4,D2,yes,A3,B1
A2,B3,C3,D1,no,A2,B2,C1,D2,yes,A2,B3
A2,B3,C4,D1,yes,A4,B1,C3,D2,yes,A1,B2
A3,B3,C1,D2,no,A4,B3,C3,D2,yes,A3,B1
A1,B2,C2,D2,yes,A3,B2,C4,D1,yes,A4,B1
A5,B2,C3,D2,yes,A3,B3,C2,D1,yes,A5,B2
A1,B2,C1,D2,no,A1,B1,C4,D1,yes,A2,B1
A3,B2,C4,D2,no,A3,B2,C2,D2,no,A3,B2
A1,B3,C4,D2,yes,A2,B2,C2,D2,yes,A3,B2
A2,B1,C4,D1,no,A4,B2,C3,D1,yes,A1,B3
A5,B3,C4,D1,no,A4,B1,C2,D1,no,A3,B3
A5,B3,C2,D1,yes,A2,B3,C4,D1,no,A5,B3
A5,B3,C3,D1,yes,A1,B1,C3,D1,yes,A3,B1
A2,B3,C1,D2,yes,A4,B2,C4,D1,yes,A3,B2
A2,B2,C4,D2,no,A4,B2,C1,D1,yes,A2,B2
A3,B2,C3,D1,no,A3,B3,C3,D2,no,A3,B2
A2,B3,C4,D2,no,A3,B2,C4,D1,no,A3,B1
A3,B2,C2,D1,yes,A3,B3,C4,D1,no,A2,B1
A1,B2,C4,D1,no,A5,B2,C2,D1,yes,A1,B1
A1,B2,C4,D1,no,A5,B2,C3,D1,no,A1,B3
A4,B1,C2,D1,yes,A3,B2,C1,D1,yes,A2,B2
A4,B1,C2,D1,no,A3,B3,C4,D2,yes,A4,B1
A5,B3,C4,D2,no,A3,B3,C4,D1,no,A2,B1
A3,B3,C4,D2,no,A2,B3,C3,D1,yes,A2,B2
A3,B2,C4,D1,yes,A1,B2,C2,D1,yes,A4,B3
A4,B3,C1,D1,yes,A3,B1,C2,D1,yes,A2,B3
A5,B2,C1,D2,yes,A2,B1,C3,D2,no,A1,B1
A1,B3,C2,D2,no,A1,B1,C2,D2,no,A5,B1
A3,B1,C3,D1,yes,A5,B1,C1,D1,no,A4,B3
A4,B3,C4,D1,no,A2,B3,C3,D2,no,A5,B3
A3,B2,C1,D2,yes,A2,B2,C1,D1,yes,A3,B3
A3,B3,C4,D2,yes,A3,B1,C1,D1,no,A5,B1
A3,B1,C4,D1,yes,A1,B1,C3,D2,no,A2,B3
A3,B2,C1,D1,yes,A1,B2,C4,D2,no,A5,B1
A1,B2,C3,D2,yes,A5,B3,C2,D1,yes,A1,B2
A5,B3,C3,D2,yes,A1,B1,C3,D2,no,A2,B3
A4,B2,C3,D2,yes,A4,B2,C1,D1,no,A5,B3
A5,B3,C4,D2,yes,A2,B1,C3,D1,yes,A5,B1
A3,B2,C1,D1,no,A4,B2,C4,D1,yes,A3,B2
A3,B3,C3,D2,no,A5,B1,C4,D2,no,A4,B2
A3,B2,C1,D2,no,A5,B2,C1,D2,no,A2,B2
A2,B2,C3,D2,no,A2,B1,C4,D1,no,A3,B3
A2,B2,C3,D2,yes,A3,B2,C4,D2,yes,A3,B1
A1,B3,C4,D2,yes,A4,B1,C4,D2,no,A5,B1
A5,B1,C3,D2,yes,A4,B3,C2,D1,yes,A5,B2
A1,B3,C4,D2,yes,A4,B3,C2,D2,no,A1,B3
A4,B1,C1,D2,no,A1,B3,C3,D2,no,A2,B2
A5,B3,C1,D1,yes,A3,B2,C2,D2,no,A3,B2
A5,B2,C2,D2,no,A4,B2,C2,D2,yes,A3,B3
A4,B3,C4,D2,yes,A4,B3,C2,D2,no,A1,B2
A4,B2,C4,D1,no,A5,B3,C1,D1,yes,A4,B1
A1,B3,C1,D1,yes,A5,B1,C1,D2,yes,A1,B3
A1,B2,C3,D1,yes,A1,B1,C1,D2,yes,A5,B3
A2,B3,C4,D1,yes,A2,B1,C3,D2,no,A1,B2
A1,B1,C1,D2,no,A4,B1,C3,D1,yes,A1,B1
A2,B2,C4,D2,no,A5,B2,C1,D2,yes,A2,B2
A4,B2,C4,D2,no,A4,B1,C3,D2,no,A2,B1
A2,B3,C2,D2,yes,A1,B1,C1,D2,yes,A3,B1
A5,B3,C4,D2,yes,A4,B3,C2,D1,yes,A4,B2
A5,B3,C3,D1,no,A1,B1,C4,D1,no,A2,B2
A5,B3,C4,D1,no,A4,B3,C2,D1,no,A1,B2
A2,B2,C4,D2,yes,A1,B3,C2,D1,yes,A2,B1
A4,B3,C2,D1,yes,A4,B2,C3,D1,no,A5,B1
A5,B1,C1,D1,no,A2,B1,C4,D2,yes,A2,B1
A4,B1,C2,D1,no,A5,B2,C3,D2,yes,A1,B1
A1,B3,C4,D1,yes,A1,B2,C2,D1,no,A1,B1
A4,B1,C1,D1,no,A3,B2,C3,D1,no,A2,B1
A2,B3,C1,D2,yes,A1,B3,C1,D2,no,A2,B2
A5,B3,C2,D2,yes,A5,B2,C4,D2,no,A5,B2
A1,B1,C1,D1,yes,A4,B3,C4,D1,no,A3,B2
A5,B3,C4,D1,no,A2,B3,C2,D1,yes,A2,B3
A4,B3,C1,D2,yes,A4,B3,C2,D1,yes,A4,B1
A4,B3,C1,D2,no,A3,B3,C4,D2,yes,A1,B1
A2,B3,C2,D1,yes,A5,B2,C4,D2,no,A4,B2
A3,B3,C1,D1,yes,A5,B2,C4,D2,yes,A5,B1
A1,B2,C4,D2,yes,A5,B2,C3,D1,yes,A3,B2
A2,B3,C1,D1,yes,A1,B3,C3,D2,no,A3,B1
A3,B1,C2,D2,yes,A4,B1,C2,D1,no,A3,B2
A4,B2,C2,D2,yes,A3,B1,C2,D2,yes,A2,B3
A3,B3,C3,D1,yes,A1,B1,C4,D2,no,A5,B1
A5,B2,C4,D2,yes,A5,B3,C1,D2,yes,A3,B3
A5,B3,C3,D2,no,A1,B1,C2,D1,yes,A3,B3
A2,B1,C3,D2,yes,A5,B1,C3,D1,yes,A3,B1
A1,B3,C3,D1,no,A4,B1,C3,D2,yes,A1,B2
A1,B1,C1,D2,yes,A2,B1,C1,D1,no,A1,B3
A5,B3,C4,D2,yes,A2,B2,C1,D1,yes,A2,B2
A1,B2,C3,D2,no,A3,B2,C1,D2,yes,A4,B1
A1,B2,C3,D2,no,A2,B1,C3,D1,no,A3,B3
A2,B1,C1,D1,yes,A1,B1,C3,D2,no,A3,B2
A3,B1,C4,D2,no,A1,B3,C2,D2,no,A5,B3
A5,B2,C4,D2,no,A2,B2,C4,D2,no,A1,B3
A1,B1,C3,D1,no,A2,B2,C4,D1,no,A3,B3
A3,B1,C4,D2,no,A5,B3,C3,D2,no,A2,B2
A2,B2,C1,D1,yes,A4,B1,C3,D2,no,A3,B3
A3,B3,C4,D2,yes,A2,B1,C2,D2,no,A5,B3
A2,B3,C1,D2,yes,A2,B3,C4,D1,no,A5,B1
A2,B2,C3,D2,yes,A2,B3,C2,D1,no,A2,B2
A2,B2,C2,D1,no,A3,B3,C4,D2,yes,A1,B3
A2,B1,C1,D2,yes,A5,B1,C3,D1,no,A1,B1
A5,B3,C3,D1,yes,A1,B2,C3,D2,no,A4,B1
A5,B2,C4,D1,no,A5,B3,C1,D2,yes,A5,B1
A4,B2,C2,D2,no,A3,B3,C3,D2,yes,A1,B3
A2,B2,C3,D2,yes,A3,B1,C1,D1,yes,A3,B3
A2,B3,C2,D1,no,A5,B3,C1,D1,no,A1,B3
A2,B2,C4,D1,yes,A4,B3,C4,D2,yes,A2,B1
A1,B3,C1,D1,no,A1,B2,C4,D1,no,A4,B1
A2,B2,C1,D1,no,A1,B1,C4,D1,yes,A5,B1
A2,B2,C2,D1,yes,A4,B3,C4,D2,no,A1,B2
A2,B1,C3,D2,no,A3,B3,C2,D2,no,A1,B3
A1,B2,C3,D2,yes,A1,B2,C1,D1,yes,A1,B1
A2,B2,C4,D1,yes,A5,B1,C1,D2,no,A5,B2
A1,B1,C3,D1,yes,A4,B3,C2,D1,yes,A5,B2
A4,B1,C2,D2,yes,A1,B1,C4,D2,yes,A5,B2
A5,B2,C1,D1,yes,A4,B3,C2,D1,yes,A3,B1
A3,B2,C4,D1,no,A4,B2,C4,D1,yes,A1,B2
A2,B1,C1,D1,no,A5,B2,C4,D1,yes,A5,B1
A5,B2,C2,D1,no,A5,B3,C4,D1,yes,A3,B1
A4,B3,C3,D2,no,A3,B1,C4,D2,no,A1,B1
A4,B3,C4,D2,no,A4,B2,C3,D2,yes,A1,B1
A1,B1,C2,D2,yes,A2,B1,C3,D2,yes,A4,B3
A5,B3,C1,D2,no,A4,B3,C2,D2,no,A3,B3
A4,B1,C2,D2,no,A3,B1,C2,D1,no,A5,B2
A2,B2,C4,D1,yes,A1,B1,C2,D2,yes,A5,B2
A3,B1,C3,D2,yes,A1,B1,C1,D1,yes,A2,B1
A4,B3,C3,D1,yes,A1,B2,C2,D1,no,A3,B1
A4,B3,C3,D1,yes,A3,B2,C1,D1,yes,A5,B3
A4,B3,C4,D1,no,A4,B1,C4,D1,no,A4,B1
A3,B3,C2,D2,yes,A4,B1,C1,D1,no,A1,B1
A5,B3,C3,D1,no,A5,B2,C4,D1,no,A4,B3
A4,B1,C2,D2,no,A3,B3,C4,D1,yes,A2,B3
A5,B3,C1,D1,yes,A5,B3,C3,D1,no,A5,B2
A1,B2,C3,D2,no,A1,B3,C4,D2,no,A3,B3
A4,B3,C2,D2,yes,A3,B3,C1,D2,no,A4,B1
A5,B2,C1,D1,no,A3,B2,C3,D1,yes,A3,B2
A3,B3,C2,D2,no,A5,B2,C3,D2,yes,A5,B1
A1,B1,C4,D1,no,A1,B1,C1,D1,yes,A5,B3
A5,B2,C4,D2,no,A4,B2,C4,D1,yes,A5,B1
A3,B1,C2,D2,yes,A3,B2,C1,D2,yes,A5,B1
A5,B2,C4,D1,yes,A4,B3,C2,D1,no,A5,B3
A1,B3,C3,D2,no,A2,B2,C4,D1,yes,A1,B3
A5,B1,C1,D2,yes,A5,B2,C1,D2,no,A3,B1
A5,B3,C1,D2,yes,A5,B3,C2,D2,no,A5,B3
A3,B3,C1,D2,no,A5,B1,C1,D2,yes,A3,B1
A4,B3,C2,D2,yes,A2,B2,C1,D1,yes,A4,B2
A4,B1,C2,D1,yes,A5,B2,C4,D2,no,A5,B1
A4,B1,C1,D2,yes,A1,B2,C1,D1,yes,A3,B2
A2,B2,C2,D2,no,A5,B2,C1,D2,yes,A1,B2
A2,B1,C2,D2,yes,A3,B3,C3,D1,no,A3,B1
A3,B3,C4,D1,yes,A2,B1,C2,D1,no,A4,B3
A5,B1,C4,D2,no,A5,B1,C3,D1,yes,A2,B2
A4,B3,C1,D2,no,A1,B3,C1,D1,no,A4,B3
A4,B2,C2,D1,no,A2,B3,C2,D1,no,A3,B1
A2,B2,C3,D2,no,A5,B1,C2,D1,no,A1,B1
